 SSTREAM(uvh/supg) 	 time=        0.00000 	 dt=0.001 	 r=5.81022e-25 	 #it= 2 	 CPUsec=0.506629 
 SSTREAM(uvh/supg) 	 time=        0.00000 	 dt=0.001 	 r=7.60157e-19 	 #it= 2 	 CPUsec=0.155959 
 SSTREAM(uvh/supg) 	 time=        0.00000 	 dt=0.001 	 r=1.83137e-18 	 #it= 2 	 CPUsec=0.153187 
 SSTREAM(uvh/supg) 	 time=        0.00000 	 dt=0.001 	 r=1.86219e-18 	 #it= 2 	 CPUsec=0.112486 
 SSTREAM(uvh/supg) 	 time=        0.00100 	 dt=0.001 	 r=8.28092e-16 	 #it= 10 	 CPUsec=0.540298 
 SSTREAM(uvh/supg) 	 time=        0.00100 	 dt=0.001 	 r=5.65725e-19 	 #it= 8 	 CPUsec=0.448056 
 SSTREAM(uvh/supg) 	 time=        0.00100 	 dt=0.001 	 r=2.9381e-19 	 #it= 3 	 CPUsec=0.160571 
 SSTREAM(uvh/supg) 	 time=        0.00200 	 dt=0.001 	 r=3.44489e-17 	 #it= 2 	 CPUsec=0.113491 
 SSTREAM(uvh/supg) 	 time=        0.00300 	 dt=0.001 	 r=1.79029e-22 	 #it= 1 	 CPUsec=0.0601319 
 SSTREAM(uvh/supg) 	 time=        0.00400 	 dt=0.001 	 r=6.54382e-29 	 #it= 1 	 CPUsec=0.0593784 
 SSTREAM(uvh/supg) 	 time=        0.00500 	 dt=0.001 	 r=1.38571e-29 	 #it= 1 	 CPUsec=0.0609973 
 SSTREAM(uvh/supg) 	 time=        0.00600 	 dt=0.001 	 r=1.39919e-29 	 #it= 1 	 CPUsec=0.0614774 
 SSTREAM(uvh/supg) 	 time=        0.00700 	 dt=0.002 	 r=1.82421e-20 	 #it= 2 	 CPUsec=0.110284 
 SSTREAM(uvh/supg) 	 time=        0.00900 	 dt=0.002 	 r=5.40978e-23 	 #it= 2 	 CPUsec=0.108917 
 SSTREAM(uvh/supg) 	 time=        0.01100 	 dt=0.002 	 r=3.29571e-23 	 #it= 1 	 CPUsec=0.0616103 
