 SSTREAM(uvh/supg) 	 time=        0.00000 	 dt=0.01 	 r=7.36961e-22 	 #it= 2 	 CPUsec=2.20329 
 SSTREAM(uvh/supg) 	 time=        0.01000 	 dt=0.01 	 r=2.36343e-20 	 #it= 1 	 CPUsec=1.2515 
 SSTREAM(uvh/supg) 	 time=        0.02000 	 dt=0.01 	 r=5.28046e-20 	 #it= 1 	 CPUsec=1.3018 
 SSTREAM(uvh/supg) 	 time=        0.03000 	 dt=0.01 	 r=6.9496e-20 	 #it= 1 	 CPUsec=1.20757 
 SSTREAM(uvh/supg) 	 time=        0.04000 	 dt=0.01 	 r=9.45935e-20 	 #it= 1 	 CPUsec=1.06612 
 SSTREAM(uvh/supg) 	 time=        0.05000 	 dt=0.01 	 r=2.96682e-19 	 #it= 1 	 CPUsec=1.09552 
 SSTREAM(uvh/supg) 	 time=        0.06000 	 dt=0.02 	 r=1.03633e-17 	 #it= 1 	 CPUsec=1.19126 
 SSTREAM(uvh/supg) 	 time=        0.08000 	 dt=0.02 	 r=1.08504e-17 	 #it= 1 	 CPUsec=1.20458 
 SSTREAM(uvh/supg) 	 time=        0.10000 	 dt=0.02 	 r=4.73716e-18 	 #it= 1 	 CPUsec=1.11761 
 SSTREAM(uvh/supg) 	 time=        0.12000 	 dt=0.02 	 r=4.22213e-17 	 #it= 1 	 CPUsec=1.16976 
 SSTREAM(uvh/supg) 	 time=        0.14000 	 dt=0.02 	 r=2.36632e-16 	 #it= 1 	 CPUsec=1.21801 
 SSTREAM(uvh/supg) 	 time=        0.16000 	 dt=0.02 	 r=1.03724e-16 	 #it= 2 	 CPUsec=2.17816 
 SSTREAM(uvh/supg) 	 time=        0.18000 	 dt=0.04 	 r=7.00641e-16 	 #it= 3 	 CPUsec=3.59702 
 SSTREAM(uvh/supg) 	 time=        0.22000 	 dt=0.04 	 r=7.06282e-17 	 #it= 3 	 CPUsec=3.26244 
 SSTREAM(uvh/supg) 	 time=        0.26000 	 dt=0.04 	 r=2.14108e-16 	 #it= 1 	 CPUsec=1.10621 
