
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=1.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 01-Mar-2017 15:06:50  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs1k000000-Aga1k000000-Ags1k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=32.5913 	 I=31.9321 	 R=0.659139  |grad|=0.455944 	 	 gamma=0.00449344 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
 7273     32.5913     31.9321    0.659139    0.455944  0.00449344      0
 7274      32.589     31.9298    0.659137    0.646966   0.0365625      0
 7275     32.5882      31.929    0.659137    0.406623  0.00537754      1
 7276      32.578     31.9189    0.659137     1.25315    0.250001      0
 7277     32.5745     31.9153    0.659137    0.614071  0.00390626      1
 7278     32.5728     31.9137    0.659137    0.380371   0.0108963      0
 7279     32.5724     31.9133    0.659138     0.41138   0.0140626      1
 7280      32.572     31.9128    0.659138    0.367539  0.00809804      2
 7281     32.5703     31.9112    0.659141      0.6483   0.0655228      3
 7282     32.5694     31.9102     0.65914    0.382425  0.00493004      4
 7283     32.5683     31.9092    0.659141    0.504096   0.0312129      0
 7284     32.5679     31.9087    0.659141    0.363731  0.00521124      1
 7285      32.564     31.9048    0.659148    0.923759    0.161252      0
 7286     32.5637     31.9046    0.659146    0.572362   0.0100782      1
 7287     32.5622     31.9031    0.659147    0.352304  0.00319368      2
 7288     32.4961     31.8368    0.659302    0.467212     2.82643      0
 7289     32.4953      31.836    0.659304    0.410638   0.0161467      1
 7290     32.4949     31.8356    0.659305    0.368149  0.00806661      2
 7291     32.4943      31.835    0.659309    0.436742   0.0235276      3
 7292     32.4939     31.8346     0.65931    0.365726  0.00920417      4
 7293     32.4935     31.8342    0.659313    0.388137   0.0143139      5
 7294     32.4931     31.8338    0.659314    0.348791  0.00800417      6
 7295     32.4912     31.8319    0.659334    0.680867    0.100134      7
 7296     32.4901     31.8307    0.659331    0.340745  0.00625835      8
 7297     32.4883     31.8289    0.659351    0.666404   0.0941179      0
 7298     32.4873      31.828    0.659349    0.346497  0.00588237      1
 7299     32.4862     31.8269     0.65936      0.4929    0.053309      0
 7300     32.4857     31.8263    0.659359     0.33275   0.0065321      1
 7301     32.4805     31.8211    0.659425     1.06092    0.329236      0
 7302     32.4777     31.8182    0.659417    0.438178  0.00514431      1
 7303      32.477     31.8176    0.659419    0.336039   0.0120494      0
 7304     32.4768     31.8173    0.659421    0.368567   0.0166511      1
 7305     32.4765     31.8171    0.659422    0.327042  0.00870586      2
 7306     32.4755      31.816    0.659435    0.549071   0.0743073      3
 7307     32.4748     31.8154    0.659434    0.328554  0.00639562      4
 7308     32.4731     31.8137    0.659457    0.642425    0.122911      0
 7309     32.4721     31.8127    0.659454    0.326384  0.00768191      1
