
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=1000.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 21-Feb-2017 18:36:13  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs1000k000000-Aga1k000000-Ags1000k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=32.9477 	 I=32.2746 	 R=0.673186  |grad|=0.510561 	 	 gamma=0.364433 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
11001     32.9477     32.2746    0.673186    0.510561    0.364433      0
11002     32.9449     32.2717    0.673195    0.492335   0.0320872      0
11003     32.9444     32.2712    0.673195    0.333155  0.00544244      1
11004     32.9438     32.2705    0.673201    0.411068   0.0353252      0
11005     32.9435     32.2703    0.673201    0.321528   0.0060398      1
11006     32.9419     32.2687    0.673224    0.566569    0.136839      0
11007     32.9411     32.2679    0.673221    0.331802  0.00855245      1
11008     32.9408     32.2676    0.673226    0.381149   0.0231583      2
11009     32.9405     32.2673    0.673226     0.34123   0.0106419      3
11010     32.9403     32.2671    0.673228    0.335707   0.0115078      4
11011     32.9401     32.2669     0.67323    0.349813   0.0156493      5
11012     32.9399     32.2667    0.673231    0.321477   0.0081851      6
11013     32.9372     32.2639    0.673275    0.829979    0.279888      7
11014     32.9354     32.2621    0.673271    0.382793  0.00555553      8
11015      32.935     32.2617    0.673273    0.330091   0.0133896      0
11016     32.9348     32.2615    0.673275    0.345848    0.014811      1
11017     32.9346     32.2613    0.673277    0.329734   0.0123301      2
11018     32.9343      32.261    0.673279    0.355562   0.0181261      3
11019     32.9341     32.2608     0.67328    0.321482  0.00925523      4
11020     32.9334     32.2602     0.67329    0.473699   0.0625401      5
11021      32.933     32.2597    0.673289    0.321448  0.00720161      6
11022     32.9183     32.2447    0.673537     1.83821     1.54653      0
11023     32.9093     32.2358    0.673516     0.89776  0.00401899      1
11024     32.9059     32.2324    0.673517    0.321092  0.00926422      0
11025     32.9054     32.2319    0.673525    0.434467   0.0490233      1
11026      32.905     32.2315    0.673525     0.32183  0.00666789      2
11027     32.9036       32.23    0.673547    0.633559    0.141538      0
11028     32.9027     32.2292    0.673545    0.332097  0.00884614      1
11029     32.9025     32.2289    0.673547    0.353859   0.0115072      2
11030     32.9023     32.2288    0.673548    0.324451  0.00907705      3
11031     32.9019     32.2283    0.673553    0.389456   0.0329043      4
11032     32.9016     32.2281    0.673553    0.323292  0.00660156      5
11033     32.8989     32.2253    0.673597    0.812736    0.274872      0
11034     32.8971     32.2235    0.673593    0.368456  0.00563298      1
11035     32.8967     32.2231    0.673595    0.340574   0.0137301      0
11036     32.8965     32.2229    0.673596    0.332074   0.0119999      1
11037     32.8962     32.2226    0.673599    0.356899   0.0182386      2
11038      32.896     32.2224      0.6736    0.322887  0.00930979      3
11039     32.8954     32.2218    0.673609     0.47102   0.0609263      4
11040     32.8949     32.2213    0.673609    0.322163   0.0071327      5
11041     32.8859     32.2122    0.673759     1.44472    0.935496      0
11042     32.8797      32.206    0.673742    0.495377   0.0054786      1
11043     32.8789     32.2051    0.673743    0.327616   0.0101994      0
11044     32.8786     32.2049    0.673746    0.361323   0.0213342      1
11045     32.8784     32.2046    0.673747    0.332111   0.0105977      2
11046     32.8781     32.2044     0.67375    0.355074   0.0200128      3
11047     32.8779     32.2041    0.673751    0.329078   0.0101277      4
11048     32.8776     32.2038    0.673756    0.378445   0.0291973      5
11049     32.8773     32.2035    0.673756    0.322117  0.00627527      6
11050     32.8757      32.202    0.673778    0.620943    0.142174      0
11051     32.8749     32.2011    0.673776    0.330805  0.00888589      1
11052     32.8747     32.2009    0.673779    0.358008   0.0126936      2
11053     32.8745     32.2007    0.673779    0.321468  0.00663612      3
11054     32.7508      32.075    0.675837     5.38261     12.9343      0
11055     32.6746     31.9989    0.675662     2.64576  0.00392447      1
11056     32.6443     31.9686    0.675665    0.325092  0.00907305      0
11057     32.6006     31.9243    0.676279     2.59445     4.26012      0
11058     32.5796     31.9034    0.676191     1.05987   0.0109231      1
11059     32.5747     31.8985    0.676214     0.90207  0.00754737      2
11060     32.5734     31.8972     0.67621    0.681746  0.00188684      3
11061     32.5689     31.8926    0.676222    0.528963    0.027701      0
11062     32.5681     31.8919    0.676222    0.381112  0.00883965      1
11063     32.5676     31.8913    0.676227    0.411802    0.020423      2
11064     32.5672      31.891    0.676228    0.356018  0.00969771      3
11065     32.5669     31.8906    0.676231    0.375603   0.0172411      4
11066     32.5666     31.8903    0.676232    0.339525  0.00895837      5
11067     32.5659     31.8896    0.676241    0.463726   0.0517268      6
11068     32.5654     31.8891     0.67624    0.328241  0.00672542      7
11069     32.5627     31.8864    0.676278    0.797299    0.216724      0
11070     32.5611     31.8848    0.676274    0.345759  0.00630291      1
11071     32.5606     31.8844    0.676278    0.358192   0.0228481      0
11072     32.5604     31.8841    0.676279    0.339708   0.0112974      1
11073     32.5601     31.8839    0.676281     0.35374   0.0171749      2
11074     32.5599     31.8836    0.676282    0.328465  0.00897352      3
11075      32.559     31.8827    0.676295    0.513132   0.0813225      4
11076     32.5583      31.882    0.676294    0.325421  0.00759332      5
11077     32.5508     31.8744     0.67641     1.32887    0.694157      6
11078     32.5484      31.872    0.676382    0.686221   0.0108462      7
11079     32.5463     31.8699    0.676387    0.347843  0.00271155      8
11080     32.5459     31.8695    0.676391    0.370365   0.0245734      0
11081     32.5456     31.8692    0.676392    0.349063     0.01151      1
11082     32.5454      31.869    0.676394    0.338865   0.0110841      2
11083     32.5452     31.8688    0.676396    0.361683   0.0168319      3
11084     32.5449     31.8685    0.676397    0.327231  0.00871334      4
11085     32.5438     31.8674    0.676411    0.582396    0.100695      5
11086      32.543     31.8666     0.67641     0.32909  0.00687544      6
11087     32.5408     31.8643    0.676442    0.746677     0.20163      0
11088     32.5392     31.8628    0.676438    0.328221  0.00689163      1
11089     32.5382     31.8618    0.676451    0.550287   0.0850707      0
11090     32.5376     31.8611     0.67645    0.327065  0.00707399      1
11091     32.5256      31.849    0.676606     1.48859     1.00169      0
11092     32.5197     31.8431    0.676593    0.704344  0.00428889      1
11093     32.5177     31.8411    0.676594    0.329304  0.00951752      0
11094     32.5174     31.8408      0.6766    0.406976   0.0329233      1
11095      32.517     31.8404      0.6766    0.326989  0.00636921      2
11096     32.5153     31.8387    0.676623    0.659157    0.144302      0
11097     32.5144     31.8378     0.67662    0.343752  0.00901891      1
11098     32.5141     31.8375    0.676622     0.35582   0.0095854      2
11099      32.514     31.8374    0.676623    0.330466  0.00874841      3
