 SSTREAM(uvh/supg) 	 time=        0.00000 	 dt=0.1 	 r=4.2209e-17 	 #it= 7 	 CPUsec=3.75011 
 SSTREAM(uvh/supg) 	 time=        0.00000 	 dt=0.1 	 r=1.43933e-16 	 #it= 6 	 CPUsec=2.55366 
 SSTREAM(uvh/supg) 	 time=        0.10000 	 dt=0.1 	 r=9.82193e-18 	 #it= 11 	 CPUsec=3.52141 
 SSTREAM(uvh/supg) 	 time=        0.10000 	 dt=0.1 	 r=2.62989e-17 	 #it= 3 	 CPUsec=0.63124 
 SSTREAM(uvh/supg) 	 time=        0.20000 	 dt=0.1 	 r=2.86978e-18 	 #it= 4 	 CPUsec=0.940464 
 SSTREAM(uvh/supg) 	 time=        0.30000 	 dt=0.1 	 r=1.573e-19 	 #it= 3 	 CPUsec=0.560432 
 SSTREAM(uvh/supg) 	 time=        0.30000 	 dt=0.1 	 r=2.05295e-19 	 #it= 3 	 CPUsec=0.590006 
 SSTREAM(uvh/supg) 	 time=        0.30000 	 dt=0.1 	 r=2.05317e-19 	 #it= 3 	 CPUsec=0.577315 
 SSTREAM(uvh/supg) 	 time=        0.40000 	 dt=0.1 	 r=5.91061e-19 	 #it= 5 	 CPUsec=1.3512 
 SSTREAM(uvh/supg) 	 time=        0.40000 	 dt=0.1 	 r=1.41023e-18 	 #it= 5 	 CPUsec=1.38468 
 SSTREAM(uvh/supg) 	 time=        0.40000 	 dt=0.1 	 r=1.46709e-18 	 #it= 5 	 CPUsec=1.34259 
 SSTREAM(uvh/supg) 	 time=        0.40000 	 dt=0.1 	 r=1.46876e-18 	 #it= 5 	 CPUsec=1.44472 
 SSTREAM(uvh/supg) 	 time=        0.50000 	 dt=0.1 	 r=2.06735e-17 	 #it= 5 	 CPUsec=1.52681 
 SSTREAM(uvh/supg) 	 time=        0.50000 	 dt=0.1 	 r=5.21247e-17 	 #it= 5 	 CPUsec=1.5013 
 SSTREAM(uvh/supg) 	 time=        0.50000 	 dt=0.1 	 r=5.21734e-17 	 #it= 5 	 CPUsec=1.55147 
 SSTREAM(uvh/supg) 	 time=        0.60000 	 dt=0.1 	 r=1.17257e-19 	 #it= 6 	 CPUsec=1.52974 
