 SSTREAM(uvh/supg) 	 time=        0.00000 	 dt=0.1 	 r=2.81264e-31 	 #it= 2 	 CPUsec=0.132937 
 SSTREAM(uvh/supg) 	 time=        0.10000 	 dt=0.1 	 r=4.30378e-32 	 #it= 1 	 CPUsec=0.0788949 
 SSTREAM(uvh/supg) 	 time=        0.20000 	 dt=0.1 	 r=8.99692e-32 	 #it= 1 	 CPUsec=0.0835578 
 SSTREAM(uvh/supg) 	 time=        0.30000 	 dt=0.1 	 r=9.9559e-32 	 #it= 1 	 CPUsec=0.0781573 
 SSTREAM(uvh/supg) 	 time=        0.40000 	 dt=0.1 	 r=5.73042e-32 	 #it= 1 	 CPUsec=0.0758948 
 SSTREAM(uvh/supg) 	 time=        0.50000 	 dt=0.1 	 r=2.82753e-32 	 #it= 1 	 CPUsec=0.0724476 
 SSTREAM(uvh/supg) 	 time=        0.60000 	 dt=0.1 	 r=2.48798e-32 	 #it= 1 	 CPUsec=0.0738345 
 SSTREAM(uvh/supg) 	 time=        0.70000 	 dt=0.1 	 r=1.44024e-32 	 #it= 1 	 CPUsec=0.0666566 
 SSTREAM(uvh/supg) 	 time=        0.80000 	 dt=0.1 	 r=1.09735e-32 	 #it= 1 	 CPUsec=0.0734628 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=3.68435e-34 	 #it= 12 	 CPUsec=0.867429 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=1.29282e-33 	 #it= 9 	 CPUsec=0.648607 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.96884e-34 	 #it= 7 	 CPUsec=0.498261 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.76821e-34 	 #it= 7 	 CPUsec=0.493018 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.88384e-34 	 #it= 33 	 CPUsec=2.17862 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=7.89423e-34 	 #it= 4 	 CPUsec=0.283861 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=9.873e-34 	 #it= 4 	 CPUsec=0.274223 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.58219e-34 	 #it= 9 	 CPUsec=0.634476 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.83859e-34 	 #it= 1 	 CPUsec=0.085469 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.67142e-34 	 #it= 11 	 CPUsec=0.758738 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.52136e-34 	 #it= 8 	 CPUsec=0.544639 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=3.68435e-34 	 #it= 12 	 CPUsec=0.875928 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=1.29282e-33 	 #it= 9 	 CPUsec=0.64098 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.96884e-34 	 #it= 7 	 CPUsec=0.508993 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.76821e-34 	 #it= 7 	 CPUsec=0.48432 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.88384e-34 	 #it= 33 	 CPUsec=2.23605 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=7.89423e-34 	 #it= 4 	 CPUsec=0.276012 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=9.873e-34 	 #it= 4 	 CPUsec=0.273127 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.58219e-34 	 #it= 9 	 CPUsec=0.625547 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.83859e-34 	 #it= 1 	 CPUsec=0.0818031 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.67142e-34 	 #it= 11 	 CPUsec=0.760743 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.52136e-34 	 #it= 8 	 CPUsec=0.538943 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=3.68435e-34 	 #it= 12 	 CPUsec=0.893551 
